Core: Instrument_Unit_mem_if_ddr3_emif_0_p0 - Instance: mem_if_ddr3_emif_0
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.89,0.885
"Bus Turnaround Time (Slow 1100mV 85C Model)",4.166,--
"Core (Slow 1100mV 85C Model)",1.994,0.303
"Core Recovery/Removal (Slow 1100mV 85C Model)",11.282,0.846
"DQS vs CK (Slow 1100mV 85C Model)",0.48,0.522
"Postamble (Slow 1100mV 85C Model)",0.731,0.731
"Read Capture (Slow 1100mV 85C Model)",0.29,0.243
"Write (Slow 1100mV 85C Model)",0.309,0.321
"Address Command (Slow 1100mV 0C Model)",0.862,0.883
"Bus Turnaround Time (Slow 1100mV 0C Model)",4.227,--
"Core (Slow 1100mV 0C Model)",1.906,0.347
"Core Recovery/Removal (Slow 1100mV 0C Model)",11.498,0.8
"DQS vs CK (Slow 1100mV 0C Model)",0.504,0.562
"Postamble (Slow 1100mV 0C Model)",0.718,0.718
"Read Capture (Slow 1100mV 0C Model)",0.302,0.255
"Write (Slow 1100mV 0C Model)",0.327,0.341
"Address Command (Fast 1100mV 85C Model)",0.961,0.975
"Bus Turnaround Time (Fast 1100mV 85C Model)",4.6,--
"Core (Fast 1100mV 85C Model)",2.828,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",14.079,0.306
"DQS vs CK (Fast 1100mV 85C Model)",0.71,0.752
"Postamble (Fast 1100mV 85C Model)",0.933,0.933
"Read Capture (Fast 1100mV 85C Model)",0.508,0.461
"Write (Fast 1100mV 85C Model)",0.485,0.485
"Address Command (Fast 1100mV 0C Model)",0.943,0.994
"Bus Turnaround Time (Fast 1100mV 0C Model)",4.603,--
"Core (Fast 1100mV 0C Model)",2.846,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",14.391,0.277
"DQS vs CK (Fast 1100mV 0C Model)",0.698,0.772
"Postamble (Fast 1100mV 0C Model)",0.95,0.95
"Read Capture (Fast 1100mV 0C Model)",0.512,0.465
"Write (Fast 1100mV 0C Model)",0.492,0.492
